"x" "y"
-6310884 225654
-6377828 364274
-6416703 373781
NA NA
-6416703 373781
-6458416 470967
-6430613 548953
-6378326 572266
-6380705 591397
-6372917 611648
NA NA
-6372917 611648
-6362833 668988
NA NA
-6678085 953678
-6523753 838289
-6515896 777133
-6517905 744527
-6480803 764078
-6362833 668988
NA NA
-6672983 917105
-6664915 936512
-6678085 953678
NA NA
-6716954 876074
-6672983 917105
NA NA
-6720137 773361
-6722955 800656
-6744348 800283
-6747288 852078
-6716954 876074
NA NA
-6805852 747763
-6720137 773361
NA NA
-6821561 676729
-6805144 719841
-6805852 747763
NA NA
-6760707 580028
-6825796 672374
-6821561 676729
NA NA
-6078349 259380
-6065179 270373
NA NA
-6065179 270373
-6030762 347180
-6021763 367002
NA NA
-6021763 367002
-6022445 417434
-6061499 501793
-6044584 583723
-6029831 596086
NA NA
-6029831 596086
-6021297 650021
-6127238 656734
-6123341 652386
-6134815 652322
-6225723 655958
-6229499 645982
-6353432 657945
-6372917 611648
NA NA
-5753485 449392
-5778405 518948
-5785676 506291
-5822191 534307
-5897396 608662
-6009861 635071
-6029831 596086
NA NA
-6726476 958457
-6678085 953678
NA NA
-6857553 963998
-6811236 947951
-6789065 954742
-6726476 958457
NA NA
-6857553 963998
-6811758 973070
